Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG0425034;;09703422;"Optical Center";"8 r Droite 11100 Narbonne";;;;09324735;Annonceur Module;Taux 2;011;"Optical Center - NARBONNE - CENTRE-VILLE";"8 Rue Droite";11100;"Narbonne";;;
EG0425035;;52915931;"Optical Center";"709 rte Nord 82000 MONTAUBAN";;;;09324735;Annonceur Module;Taux 2;082;"Optical Center - MONTAUBAN-AUSSONNE";"709 Route du Nord";82000;"MONTAUBAN";;;
EG0425036;;50498502;"Optical Center SAINT-GEORGES-DES-COTEAUX - SAINTES";"5 zac Communautaire des Côteaux 17810 Saint Georges des Coteaux";;;;09324735;Annonceur Module;Taux 2;017;"Optical Center - SAINT-GEORGES-DES-COTEAUX - SAINTES";"5 Rue de Bellegarde";17810;"Saint-Georges-des-Coteaux";;;
EG0425038;;12195551;"Optical Center";"140   rte Romains 57100 Thionville";;;;09324735;Annonceur Module;Taux 2;057;"Optical Center - THIONVILLE";"140 Route des Romains";57100;"THIONVILLE";;;
EG0425039;;51027082;"Optical Center";"39 av Frères Lumière 69008 Lyon";;;;09324735;Annonceur Module;Taux 2;069;"Optical Center - LYON - FRÈRES LUMIÈRE";"39 Avenue des Frères Lumière";69008;"LYON";;;
EG0425040;;51381518;"Optical Center";"34 bd Sports 40100 Dax";;;;09324735;Annonceur Module;Taux 2;040;"Optical Center - DAX";"34 Boulevard des Sports";40100;"DAX";;;
EG0425041;;50104861;"Audioprothésiste SAINT-ANDRE-LES-VERGERS - TROYES Optical Center";"9 av Charles de Refuge 10120 SAINT ANDRE LES VERGERS";;;;53550706;Annonceur Module;Taux 2;010;"Optical Center - SAINT-ANDRÉ-LES-VERGERS - TROYES";"9 Avenue Charles de Refuge";10120;"SAINT-ANDRÉ-LES-VERGERS ? TROYES";;;
EG0425042;;51930096;"Optical Center";"11 pl Aristide Briand 59400 CAMBRAI";;;;09324735;Annonceur Module;Taux 2;059;"Optical Center - CAMBRAI";"11 Place Aristide Briand";59400;"Cambrai";;;
EG0425043;;51092262;"Optical Center";"25300 DOUBS";;;;09324735;Annonceur Module;Taux 2;025;"Optical Center - PONTARLIER";"9 Rue de Besançon";25300;"DOUBS";;;
EG0425044;;50959446;"Optical Center";"44 bd Denis Papin 11000 CARCASSONNE";;;;09324735;Annonceur Module;Taux 2;011;"Optical Center - CARCASSONNE";"44 Boulevard Denis Papin";11000;"CARCASSONNE";;;
EG0425046;;50132433;"Optical Center";"32 r Alsace Lorraine 42300 ROANNE";;;;09324735;Annonceur Module;Taux 2;042;"Optical Center - ROANNE";"32  rue d'Alsace Lorraine  Place des Promenades";42300;"ROANNE";;;
EG0425047;;52915886;"Optical Center CAEN - MONDEVILLE";"r Aristide Boucicaut 14120 MONDEVILLE";;;;09324735;Annonceur Module;Taux 2;014;"Optical Center - CAEN - MONDEVILLE";"Rue Aristide Boucicaut";14120;"MONDEVILLE";;;
EG0425049;;50399053;"Optical Center";"30 av Pyrénées 32000 AUCH";;;;09324735;Annonceur Module;Taux 2;032;"Optical Center - AUCH";"Route de Tarbes  30  avenue des Pyrénées";32000;"AUCH";;;
